open_time,BTC,ETH,BNB,XRP,ADA,SOL,DOGE,AVAX,DOT,MATIC,LINK,UNI,LTC,ATOM,ETC,XLM,TRX,NEAR,APT,ALGO,VET,ICP,FIL,AAVE,SHIB
2020-05-10 17:00:00,8561.03,186.42,15.1306,0.194,0.04802,,0.0023951,,,,,,41.72,2.393,6.0353,0.06251,,,,,0.004122,,,,
2020-05-11 17:00:00,8810.0,189.9,15.8174,0.19695,0.05039,,0.0024573,,,,,,42.22,2.473,6.0753,0.06997,,,,,0.00423,,,,
2020-05-12 17:00:00,9295.0,199.12,16.1868,0.20186,0.05166,,0.0025203,,,,,,43.17,2.533,6.2432,0.06983,,,,,0.004492,,,,
2020-05-13 17:00:00,9792.25,203.1,16.405,0.20381,0.05114,,0.0025676,,,,,,44.1,2.534,6.2711,0.06944,,,,,0.004489,,,,
2020-05-14 17:00:00,9311.55,194.23,15.7057,0.19766,0.05012,,0.002499,,,,,,42.69,2.472,6.5009,0.06693,,,,,0.004367,,,,
2020-05-15 17:00:00,9387.32,200.51,16.0696,0.20024,0.051,,0.0024922,,,,,,43.36,2.555,6.6827,0.06802,,,,,0.004463,,,,
2020-05-16 17:00:00,9675.9,207.74,16.3084,0.20136,0.05137,,0.0025269,,,,,,43.69,2.538,6.6438,0.06946,,,,,0.004438,,,,
2020-05-17 17:00:00,9735.91,214.49,16.6213,0.20505,0.05422,,0.0025506,,,,,,45.32,2.599,6.7115,0.07028,,,,,0.00448,,,,
2020-05-18 17:00:00,9771.9,214.51,17.21,0.20463,0.0568,,0.002541,,,,,,45.61,2.607,6.6703,0.0698,,,,,0.004542,,,,
2020-05-19 17:00:00,9520.76,210.0,16.9118,0.20179,0.05692,,0.0024694,,,,,,44.2,2.696,6.4592,0.07099,,,,,0.004513,,,,
2020-05-20 17:00:00,9058.33,198.52,16.0827,0.19407,0.05226,,0.0024935,,,,,,42.8,2.508,6.1748,0.06648,,,,,0.004243,,,,
2020-05-21 17:00:00,9169.41,207.48,16.5654,0.20013,0.05575,,0.0025254,,,,,,44.14,2.648,6.4255,0.06795,,,,,0.004625,,,,
2020-05-22 17:00:00,9174.47,206.48,16.4598,0.19897,0.0549,,0.0025146,,,,,,43.99,2.608,6.5626,0.0671,,,,,0.004596,,,,
2020-05-23 17:00:00,8716.23,199.59,15.9512,0.19315,0.05185,,0.0024532,,,,,,42.16,2.496,6.5972,0.06455,,,,,0.00447,,,,
2020-05-24 17:00:00,8890.24,204.28,16.3751,0.19614,0.05396,,0.0025319,,,,,,43.06,2.616,6.8138,0.06595,,,,,0.005066,,,,
2020-05-25 17:00:00,8839.14,200.68,16.194,0.19371,0.05335,,0.002483,,,,,,42.24,2.568,6.6992,0.0649,,,,,0.004876,,,,
2020-05-26 17:00:00,9202.0,207.79,16.4404,0.19761,0.05515,,0.0024902,,,,,,43.76,2.593,6.7861,0.06602,,,,,0.00489,,,,
2020-05-27 17:00:00,9578.52,219.85,17.0116,0.20047,0.06484,,0.0025242,,,,,,44.6,2.669,6.8541,0.06895,,,,,0.005513,,,,
2020-05-28 17:00:00,9424.31,220.43,17.0119,0.19749,0.06474,,0.0025322,,,,,,44.36,2.691,7.2168,0.06771,,,,,0.005549,,,,
2020-05-29 17:00:00,9698.33,243.53,17.7513,0.20708,0.07698,,0.0026194,,,,,,47.53,2.804,7.4832,0.07267,,,,,0.006271,,,,
2020-05-30 17:00:00,9469.22,231.92,16.9632,0.20291,0.07401,,0.0025404,,,,,,45.58,2.739,6.9263,0.07058,,,,,0.006926,,,,
2020-05-31 17:00:00,10195.38,248.0,17.9038,0.21066,0.08092,,0.002655,,,,,,48.22,2.857,7.2205,0.07559,,,,,0.006676,,,,
2020-06-01 17:00:00,9522.74,237.91,17.2423,0.20266,0.07882,,0.0025462,,,,,,45.91,2.755,6.9717,0.07929,,,,,0.007256,,,,
2020-06-02 17:00:00,9652.01,244.6,17.527,0.20355,0.08543,,0.0025909,,,,,,47.11,2.902,6.9353,0.08252,,,,,0.007094,,,,
2020-06-03 17:00:00,9792.39,243.56,17.5283,0.20522,0.0888,,0.0026305,,,,,,47.43,3.118,6.9405,0.08225,,,,,0.006718,,,,
2020-06-04 17:00:00,9628.52,240.06,17.6818,0.20285,0.08517,,0.0025895,,,,,,46.99,3.107,6.834,0.07897,,,,,0.00673,,,,
2020-06-05 17:00:00,9661.48,242.32,17.5514,0.20388,0.08613,,0.002583,,,,,,46.89,3.065,6.8523,0.0797,,,,,0.007294,,,,
2020-06-06 17:00:00,9748.82,244.6,17.4097,0.20317,0.08647,,0.0025976,,,,,,46.59,3.011,6.8173,0.0787,,,,,0.007222,,,,
2020-06-07 17:00:00,9774.31,246.75,17.3794,0.20394,0.08635,,0.0025808,,,,,,46.48,3.161,6.8998,0.0799,,,,,0.007814,,,,
2020-06-08 17:00:00,9772.99,243.81,17.3707,0.20116,0.083,,0.002555,,,,,,45.91,3.118,6.7858,0.07813,,,,,0.008211,,,,
2020-06-09 17:00:00,9886.32,247.74,17.3952,0.20221,0.08352,,0.0025721,,,,,,46.57,3.116,6.7952,0.07874,,,,,0.009021,,,,
2020-06-10 17:00:00,9269.7,230.27,16.2688,0.18855,0.07525,,0.00243,,,,,,43.17,2.826,6.2627,0.07131,,,,,0.008763,,,,
2020-06-11 17:00:00,9463.82,237.3,16.6328,0.19291,0.07956,,0.0024776,,,,,,44.53,2.856,6.4244,0.07257,,,,,0.009679,,,,
2020-06-12 17:00:00,9465.95,238.22,16.8113,0.19254,0.07907,,0.002518,,,,,,45.07,2.866,6.484,0.07402,,,,,0.0096,,,,
2020-06-13 17:00:00,9346.38,231.81,16.5894,0.19085,0.07712,,0.0024946,,,,,,44.08,2.762,6.3309,0.07143,,,,,0.008665,,,,
2020-06-14 17:00:00,9430.51,230.52,16.4201,0.19263,0.07818,,0.0024752,,,,,,43.78,2.716,6.2584,0.071,,,,,0.009033,,,,
2020-06-15 17:00:00,9529.1,234.91,16.4151,0.19217,0.07911,,0.0024928,,,,,,43.81,2.719,6.2404,0.07106,,,,,0.009074,,,,
2020-06-16 17:00:00,9463.47,234.18,16.396,0.19325,0.08326,,0.0024775,,,,,,44.05,2.703,6.2885,0.07177,,,,,0.009002,,,,
2020-06-17 17:00:00,9390.23,231.52,16.1911,0.19055,0.08216,,0.0024588,,,,,,43.48,2.651,6.2128,0.07061,,,,,0.008674,,,,
